year,id_,age,educ,sex,race,rincome,ballot,rheight
2022,219,44,4 years of college,MALE,Black,.i:  Inapplicable,Ballot c,63
2022,220,57,3 years of college,MALE,Black,$25000 OR MORE,Ballot a,-100
2022,221,75,2 years of college,FEMALE,Black,.i:  Inapplicable,Ballot c,61
2022,222,31,2 years of college,FEMALE,Black,$25000 OR MORE,Ballot b,-100
2022,223,62,No formal schooling,FEMALE,White,.i:  Inapplicable,Ballot c,64
2022,224,50,5 years of college,FEMALE,White,$25000 OR MORE,Ballot c,65
2022,225,39,3 years of college,MALE,White,$25000 OR MORE,Ballot b,-100
2022,226,33,1 year of college,MALE,White,$25000 OR MORE,Ballot c,76
2022,227,43,4 years of college,FEMALE,.i:  Inapplicable,$25000 OR MORE,Ballot b,-100
2022,228,23,4 years of college,FEMALE,Other,$10000 - 14999,Ballot b,-100
2022,229,31,4 years of college,FEMALE,White,$25000 OR MORE,Ballot c,68
2022,230,33,7 years of college,MALE,White,$25000 OR MORE,Ballot c,74
2022,231,24,12th grade,MALE,Other,$4000 TO 4999,Ballot c,68
2022,232,23,4 years of college,MALE,White,.i:  Inapplicable,Ballot c,65
2022,233,58,2 years of college,MALE,Black,.d:  Do not Know/Cannot Choose,Ballot a,-100
2022,234,39,5 years of college,FEMALE,White,.d:  Do not Know/Cannot Choose,Ballot a,-100
2022,235,56,6th grade,MALE,Other,$7000 TO 7999,Ballot b,-100
2022,236,71,4 years of college,FEMALE,Black,.d:  Do not Know/Cannot Choose,Ballot c,60
2022,237,56,4 years of college,FEMALE,Other,.d:  Do not Know/Cannot Choose,Ballot b,-100
2022,238,41,2 years of college,FEMALE,Other,.i:  Inapplicable,Ballot c,61
2022,239,27,5 years of college,FEMALE,White,$25000 OR MORE,Ballot a,-100
2022,240,36,12th grade,MALE,White,$25000 OR MORE,Ballot b,-100
2022,241,59,12th grade,MALE,Other,$10000 - 14999,Ballot a,-100
2022,242,25,3 years of college,MALE,Black,$1000 TO 2999,Ballot c,57
2022,243,28,8 or more years of college,FEMALE,Black,$25000 OR MORE,Ballot b,-100
2022,244,70,12th grade,FEMALE,Black,.i:  Inapplicable,Ballot a,-100
2022,245,59,4 years of college,MALE,Black,$25000 OR MORE,Ballot c,72
2022,246,20,3 years of college,FEMALE,Other,.i:  Inapplicable,Ballot c,62
2022,247,55,3rd grade,MALE,White,$15000 - 19999,Ballot a,-100
2022,248,22,3 years of college,MALE,White,.i:  Inapplicable,Ballot a,-100
2022,249,51,7th grade,FEMALE,Other,.i:  Inapplicable,Ballot b,-100
2022,250,21,11th grade,MALE,Other,$20000 - 24999,Ballot c,67
2022,251,50,11th grade,FEMALE,White,$10000 - 14999,Ballot a,-100
2022,252,60,7th grade,FEMALE,White,.i:  Inapplicable,Ballot b,-100
2022,253,66,4 years of college,FEMALE,White,.i:  Inapplicable,Ballot a,-100
2022,254,23,12th grade,MALE,White,$25000 OR MORE,Ballot c,63
2022,255,64,6th grade,FEMALE,Other,.i:  Inapplicable,Ballot c,60
2022,256,32,2 years of college,MALE,Other,$15000 - 19999,Ballot a,-100
2022,257,26,3 years of college,FEMALE,Other,.i:  Inapplicable,Ballot c,65
2022,258,59,12th grade,FEMALE,White,$25000 OR MORE,Ballot a,-100
2022,259,81,6 years of college,FEMALE,Black,.i:  Inapplicable,Ballot c,63
2022,260,36,5 years of college,MALE,White,$25000 OR MORE,Ballot c,71
2022,261,29,1 year of college,FEMALE,Other,.i:  Inapplicable,Ballot c,61
