kinderage,ses,books,wicFk,black,hispanic,asian,other,female,wic,teenmom,thirtymom,bweight,zmathFk,zreadFk,zmath8,zread8
70,0.85,50,0,0,0,0,1,0,0,0,0,117,0.8204465508460999,3.254700183868408,0.10849449783563614,0.8528100252151489
63,-1.5,6,1,1,0,0,0,0,1,1,0,130,-1.3402533531188965,-1.0351529121398926,-2.1166348457336426,-2.460395574569702
70,0.01,25,0,0,0,0,0,0,0,0,1,153,-0.3407385051250458,-0.10043253749608994,-1.2930271625518799,-1.6862581968307495
72,-0.04,100,0,0,0,0,0,1,0,0,0,140,-0.021767644211649895,0.7289260029792786,0.7428579926490784,0.2861165702342987
64,0.41,100,0,0,0,0,0,1,0,0,1,105,1.239915132522583,2.1885199546813965,1.3004122972488403,0.6733694076538086
65,1.32,75,0,0,0,0,0,0,0,0,1,107,0.4971061646938324,1.5756840705871582,1.2291566133499146,0.7455881237983704
63,0.06,100,0,0,0,0,0,1,0,0,0,96,-0.04361504688858986,0.453439861536026,0.2880227565765381,0.3012230694293976
75,2.04,75,0,0,0,0,1,0,0,0,1,100,1.0192571878433228,0.8613526821136475,0.7706196904182434,0.7363765835762024
77,-0.13,200,0,0,0,0,0,0,0,0,0,125,0.7133943438529968,0.4234745502471924,0.08119530230760574,0.6656320691108704
73,1.26,200,0,0,0,0,0,0,0,0,1,120,1.663752794265747,1.5408858060836792,0.9529240131378174,0.9250286817550659
70,-0.04,50,0,0,0,0,0,0,0,0,0,106,-0.018490679562091827,0.02909437008202076,-0.25009885430336,0.30269721150398254
73,1.21,150,0,0,0,0,0,0,0,0,1,144,0.44576483964920044,1.1310393810272217,0.6452280879020691,1.196953535079956
68,0.57,100,0,0,0,0,0,0,0,0,1,103,-0.1714218705892563,-0.010537346825003624,-0.03401752561330795,0.5930450558662415
74,1.27,200,0,0,0,0,0,0,0,0,1,141,1.8691176176071167,0.3906095325946808,0.6544819474220276,0.16857725381851196
69,2.28,200,0,0,0,0,0,1,0,0,1,100,1.5872870683670044,2.9221837520599365,0.7104683518409729,1.0643070936203003
64,2.41,200,0,0,0,0,0,1,0,0,0,153,1.7740819454193115,1.3823604583740234,0.8349350690841675,0.9276076555252075
65,1.3,100,0,0,0,0,0,0,0,0,1,103,0.5692023038864136,-0.1506967544555664,0.9543120265007019,1.1929004192352295
67,1.72,150,0,0,0,0,0,0,0,0,0,123,0.3441747725009918,0.21758469939231873,0.765993058681488,0.7776440978050232
72,1.37,100,0,0,0,0,0,0,0,0,1,118,0.7123021483421326,0.417674720287323,0.5961811542510986,0.3933384418487549
66,1.72,80,0,0,0,0,0,0,0,0,0,126,1.4387255907058716,1.3852601051330566,0.6174657344818115,0.5727795958518982
60,-1.01,12,1,1,0,0,0,1,1,1,0,123,-0.20856231451034546,0.41477498412132263,-0.3759536147117615,-0.034813668578863144
62,0.44,25,1,1,0,0,0,1,1,1,0,102,-0.03378373757004738,-0.3797854483127594,-1.1981732845306396,-1.8561190366744995
63,0.04,30,1,1,0,0,0,1,1,0,0,95,-0.5187942385673523,-0.08980004489421844,-1.0644527673721313,-1.3004786968231201
60,-1.29,15,1,1,0,0,0,1,1,1,0,149,-0.4521598517894745,-0.6552717685699463,-2.5020649433135986,-1.1755702495574951
64,-0.31,60,0,1,0,0,0,1,0,0,0,52,0.9023740291595459,0.7608246207237244,0.5346425175666809,-0.45485958456993103
